"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Poland (PL)","Actual Total Load [MW] - Poland (PL)"
"19.01.2024 01:00 - 19.01.2024 02:00","18923","18638"
"19.01.2024 02:00 - 19.01.2024 03:00","18553","18423"
"19.01.2024 03:00 - 19.01.2024 04:00","18634","18426"
"19.01.2024 04:00 - 19.01.2024 05:00","19266","18829"
"19.01.2024 05:00 - 19.01.2024 06:00","20748","19699"
"19.01.2024 06:00 - 19.01.2024 07:00","23980","22442"
"19.01.2024 07:00 - 19.01.2024 08:00","24957","24291"
"19.01.2024 08:00 - 19.01.2024 09:00","25689","25495"
"19.01.2024 09:00 - 19.01.2024 10:00","25795","26182"
"19.01.2024 10:00 - 19.01.2024 11:00","25792","25991"
"19.01.2024 11:00 - 19.01.2024 12:00","25763","26342"
"19.01.2024 12:00 - 19.01.2024 13:00","25672","26207"
"19.01.2024 13:00 - 19.01.2024 14:00","26051","26217"
"19.01.2024 14:00 - 19.01.2024 15:00","25545","25512"
"19.01.2024 15:00 - 19.01.2024 16:00","25336","25265"
"19.01.2024 16:00 - 19.01.2024 17:00","26220","25565"
"19.01.2024 17:00 - 19.01.2024 18:00","26210","25925"
"19.01.2024 18:00 - 19.01.2024 19:00","25742","25438"
"19.01.2024 19:00 - 19.01.2024 20:00","25522","25296"
"19.01.2024 20:00 - 19.01.2024 21:00","24898","24399"
"19.01.2024 21:00 - 19.01.2024 22:00","23776","22857"
"19.01.2024 22:00 - 19.01.2024 23:00","21805","21303"
"19.01.2024 23:00 - 20.01.2024 00:00","20536","19942"
"20.01.2024 00:00 - 20.01.2024 01:00","19094","18853"
"20.01.2024 01:00 - 20.01.2024 02:00","18234","18177"
"20.01.2024 02:00 - 20.01.2024 03:00","17673","17802"
"20.01.2024 03:00 - 20.01.2024 04:00","17462","17803"
"20.01.2024 04:00 - 20.01.2024 05:00","17649","17921"
"20.01.2024 05:00 - 20.01.2024 06:00","17938","18107"
"20.01.2024 06:00 - 20.01.2024 07:00","19129","18964"
"20.01.2024 07:00 - 20.01.2024 08:00","20012","19876"
"20.01.2024 08:00 - 20.01.2024 09:00","21341","21233"
"20.01.2024 09:00 - 20.01.2024 10:00","21996","22619"
"20.01.2024 10:00 - 20.01.2024 11:00","22353","23008"
"20.01.2024 11:00 - 20.01.2024 12:00","22360","23225"
"20.01.2024 12:00 - 20.01.2024 13:00","22297","22900"
"20.01.2024 13:00 - 20.01.2024 14:00","22340","22473"
"20.01.2024 14:00 - 20.01.2024 15:00","21777","21787"
"20.01.2024 15:00 - 20.01.2024 16:00","21610","21640"
"20.01.2024 16:00 - 20.01.2024 17:00","22582","22044"
"20.01.2024 17:00 - 20.01.2024 18:00","22632","22306"
"20.01.2024 18:00 - 20.01.2024 19:00","22431","22101"
"20.01.2024 19:00 - 20.01.2024 20:00","22222","21800"
"20.01.2024 20:00 - 20.01.2024 21:00","21708","21359"
"20.01.2024 21:00 - 20.01.2024 22:00","20738","20254"
"20.01.2024 22:00 - 20.01.2024 23:00","19616","19290"
"20.01.2024 23:00 - 21.01.2024 00:00","18592","18202"
"21.01.2024 00:00 - 21.01.2024 01:00","17334","17082"
"21.01.2024 01:00 - 21.01.2024 02:00","16659","16442"
"21.01.2024 02:00 - 21.01.2024 03:00","16279","16050"
"21.01.2024 03:00 - 21.01.2024 04:00","16090","15913"
"21.01.2024 04:00 - 21.01.2024 05:00","16093","15973"
"21.01.2024 05:00 - 21.01.2024 06:00","16382","16178"
"21.01.2024 06:00 - 21.01.2024 07:00","16907","16691"
"21.01.2024 07:00 - 21.01.2024 08:00","17216","17225"
"21.01.2024 08:00 - 21.01.2024 09:00","18231","18274"
"21.01.2024 09:00 - 21.01.2024 10:00","19103","19291"
"21.01.2024 10:00 - 21.01.2024 11:00","19660","19896"
"21.01.2024 11:00 - 21.01.2024 12:00","19738","19837"
"21.01.2024 12:00 - 21.01.2024 13:00","19831","19477"
"21.01.2024 13:00 - 21.01.2024 14:00","19970","19350"
"21.01.2024 14:00 - 21.01.2024 15:00","19614","19036"
"21.01.2024 15:00 - 21.01.2024 16:00","19324","19124"
"21.01.2024 16:00 - 21.01.2024 17:00","20389","19641"
"21.01.2024 17:00 - 21.01.2024 18:00","20561","20360"
"21.01.2024 18:00 - 21.01.2024 19:00","20594","20546"
"21.01.2024 19:00 - 21.01.2024 20:00","20540","20611"
"21.01.2024 20:00 - 21.01.2024 21:00","20195","20235"
"21.01.2024 21:00 - 21.01.2024 22:00","19457","19364"
"21.01.2024 22:00 - 21.01.2024 23:00","18626","18600"
"21.01.2024 23:00 - 22.01.2024 00:00","17645","17535"
"22.01.2024 00:00 - 22.01.2024 01:00","16723","16673"
"22.01.2024 01:00 - 22.01.2024 02:00","16110","16402"
"22.01.2024 02:00 - 22.01.2024 03:00","15836","16138"
"22.01.2024 03:00 - 22.01.2024 04:00","16109","16267"
"22.01.2024 04:00 - 22.01.2024 05:00","16884","16820"
"22.01.2024 05:00 - 22.01.2024 06:00","18961","18092"
"22.01.2024 06:00 - 22.01.2024 07:00","22451","21327"
"22.01.2024 07:00 - 22.01.2024 08:00","23792","23366"
"22.01.2024 08:00 - 22.01.2024 09:00","24799","24313"
"22.01.2024 09:00 - 22.01.2024 10:00","24976","24590"
"22.01.2024 10:00 - 22.01.2024 11:00","25094","24629"
"22.01.2024 11:00 - 22.01.2024 12:00","25300","24903"
"22.01.2024 12:00 - 22.01.2024 13:00","25439","25017"
"22.01.2024 13:00 - 22.01.2024 14:00","25784","25046"
"22.01.2024 14:00 - 22.01.2024 15:00","25085","24652"
"22.01.2024 15:00 - 22.01.2024 16:00","24682","24594"
"22.01.2024 16:00 - 22.01.2024 17:00","25551","24970"
"22.01.2024 17:00 - 22.01.2024 18:00","25551","25032"
"22.01.2024 18:00 - 22.01.2024 19:00","25151","24579"
"22.01.2024 19:00 - 22.01.2024 20:00","25008","24341"
"22.01.2024 20:00 - 22.01.2024 21:00","24513","23697"
"22.01.2024 21:00 - 22.01.2024 22:00","23216","22224"
"22.01.2024 22:00 - 22.01.2024 23:00","21319","20640"
"22.01.2024 23:00 - 23.01.2024 00:00","20027","19371"
"23.01.2024 00:00 - 23.01.2024 01:00","18616","18433"
"23.01.2024 01:00 - 23.01.2024 02:00","17930","17911"
"23.01.2024 02:00 - 23.01.2024 03:00","17541","17640"
"23.01.2024 03:00 - 23.01.2024 04:00","17551","17604"
"23.01.2024 04:00 - 23.01.2024 05:00","18205","17925"
"23.01.2024 05:00 - 23.01.2024 06:00","19800","18899"
"23.01.2024 06:00 - 23.01.2024 07:00","23041","21640"
"23.01.2024 07:00 - 23.01.2024 08:00","24078","23613"
"23.01.2024 08:00 - 23.01.2024 09:00","24895","24309"
"23.01.2024 09:00 - 23.01.2024 10:00","25016","24640"
"23.01.2024 10:00 - 23.01.2024 11:00","25111","24436"
"23.01.2024 11:00 - 23.01.2024 12:00","25113","24877"
"23.01.2024 12:00 - 23.01.2024 13:00","25215","24797"
"23.01.2024 13:00 - 23.01.2024 14:00","25462","24745"
"23.01.2024 14:00 - 23.01.2024 15:00","24772","24419"
"23.01.2024 15:00 - 23.01.2024 16:00","24452","24269"
"23.01.2024 16:00 - 23.01.2024 17:00","25250","24774"
"23.01.2024 17:00 - 23.01.2024 18:00","25253","25038"
"23.01.2024 18:00 - 23.01.2024 19:00","24762","24772"
"23.01.2024 19:00 - 23.01.2024 20:00","24676","24494"
"23.01.2024 20:00 - 23.01.2024 21:00","24250","23880"
"23.01.2024 21:00 - 23.01.2024 22:00","22987","22308"
"23.01.2024 22:00 - 23.01.2024 23:00","21172","20666"
"23.01.2024 23:00 - 24.01.2024 00:00","19938","19409"
"24.01.2024 00:00 - 24.01.2024 01:00","18684","18351"
"24.01.2024 01:00 - 24.01.2024 02:00","18006","17851"
"24.01.2024 02:00 - 24.01.2024 03:00","17421","17621"
"24.01.2024 03:00 - 24.01.2024 04:00","17435","17577"
"24.01.2024 04:00 - 24.01.2024 05:00","18051","18088"
"24.01.2024 05:00 - 24.01.2024 06:00","19651","19039"
"24.01.2024 06:00 - 24.01.2024 07:00","22751","21631"
"24.01.2024 07:00 - 24.01.2024 08:00","23800","23511"
"24.01.2024 08:00 - 24.01.2024 09:00","24690","24545"
"24.01.2024 09:00 - 24.01.2024 10:00","24863","25134"
"24.01.2024 10:00 - 24.01.2024 11:00","24926","25015"
"24.01.2024 11:00 - 24.01.2024 12:00","24934","25182"
"24.01.2024 12:00 - 24.01.2024 13:00","25003","24771"
"24.01.2024 13:00 - 24.01.2024 14:00","25198","24823"
"24.01.2024 14:00 - 24.01.2024 15:00","24657","24295"
"24.01.2024 15:00 - 24.01.2024 16:00","24335","24032"
"24.01.2024 16:00 - 24.01.2024 17:00","25099","24439"
"24.01.2024 17:00 - 24.01.2024 18:00","25101","24643"
"24.01.2024 18:00 - 24.01.2024 19:00","24651","24303"
"24.01.2024 19:00 - 24.01.2024 20:00","24551","24132"
"24.01.2024 20:00 - 24.01.2024 21:00","24101","23289"
"24.01.2024 21:00 - 24.01.2024 22:00","22851","21860"
"24.01.2024 22:00 - 24.01.2024 23:00","21001","20192"
"24.01.2024 23:00 - 25.01.2024 00:00","19751","19001"
"25.01.2024 00:00 - 25.01.2024 01:00","18551","18063"
"25.01.2024 01:00 - 25.01.2024 02:00","17851","17501"
"25.01.2024 02:00 - 25.01.2024 03:00","17351","17220"
"25.01.2024 03:00 - 25.01.2024 04:00","17401","17245"
"25.01.2024 04:00 - 25.01.2024 05:00","18001","17587"
"25.01.2024 05:00 - 25.01.2024 06:00","19401","18518"
"25.01.2024 06:00 - 25.01.2024 07:00","22701","21241"
"25.01.2024 07:00 - 25.01.2024 08:00","23801","23055"
"25.01.2024 08:00 - 25.01.2024 09:00","24694","24133"
"25.01.2024 09:00 - 25.01.2024 10:00","24922","24579"
"25.01.2024 10:00 - 25.01.2024 11:00","25007","24394"
"25.01.2024 11:00 - 25.01.2024 12:00","25055","24514"
"25.01.2024 12:00 - 25.01.2024 13:00","25069","24643"
"25.01.2024 13:00 - 25.01.2024 14:00","25296","24697"
"25.01.2024 14:00 - 25.01.2024 15:00","24639","24112"
"25.01.2024 15:00 - 25.01.2024 16:00","24353","24002"
"25.01.2024 16:00 - 25.01.2024 17:00","25247","24418"
"25.01.2024 17:00 - 25.01.2024 18:00","25325","24707"
"25.01.2024 18:00 - 25.01.2024 19:00","24855","24530"
"25.01.2024 19:00 - 25.01.2024 20:00","24739","24325"
"25.01.2024 20:00 - 25.01.2024 21:00","24376","23700"
"25.01.2024 21:00 - 25.01.2024 22:00","23310","22331"
"25.01.2024 22:00 - 25.01.2024 23:00","21539","20815"
"25.01.2024 23:00 - 26.01.2024 00:00","20216","19497"
"26.01.2024 00:00 - 26.01.2024 01:00","18800","18421"
"26.01.2024 01:00 - 26.01.2024 02:00","18125","17983"
"26.01.2024 02:00 - 26.01.2024 03:00","17798","17589"
"26.01.2024 03:00 - 26.01.2024 04:00","17874","17693"
"26.01.2024 04:00 - 26.01.2024 05:00","18606","18001"
"26.01.2024 05:00 - 26.01.2024 06:00","20088","19086"
"26.01.2024 06:00 - 26.01.2024 07:00","23413","21695"
"26.01.2024 07:00 - 26.01.2024 08:00","24427","23563"
"26.01.2024 08:00 - 26.01.2024 09:00","25286","24526"
"26.01.2024 09:00 - 26.01.2024 10:00","25372","24898"
"26.01.2024 10:00 - 26.01.2024 11:00","25304","24599"
"26.01.2024 11:00 - 26.01.2024 12:00","25285","24972"
"26.01.2024 12:00 - 26.01.2024 13:00","25213","24976"
"26.01.2024 13:00 - 26.01.2024 14:00","25399","25054"
"26.01.2024 14:00 - 26.01.2024 15:00","24784","24457"
"26.01.2024 15:00 - 26.01.2024 16:00","24373","24142"
"26.01.2024 16:00 - 26.01.2024 17:00","25195","24452"
"26.01.2024 17:00 - 26.01.2024 18:00","25135","24686"
"26.01.2024 18:00 - 26.01.2024 19:00","24581","24399"
"26.01.2024 19:00 - 26.01.2024 20:00","24395","24155"
"26.01.2024 20:00 - 26.01.2024 21:00","23866","23575"
"26.01.2024 21:00 - 26.01.2024 22:00","22685","21758"
"26.01.2024 22:00 - 26.01.2024 23:00","20911","20273"
"26.01.2024 23:00 - 27.01.2024 00:00","19651","19108"
"27.01.2024 00:00 - 27.01.2024 01:00","18465","18099"
"27.01.2024 01:00 - 27.01.2024 02:00","17661","17449"
"27.01.2024 02:00 - 27.01.2024 03:00","17258","17115"
"27.01.2024 03:00 - 27.01.2024 04:00","17207","16971"
"27.01.2024 04:00 - 27.01.2024 05:00","17462","17026"
"27.01.2024 05:00 - 27.01.2024 06:00","17773","17137"
"27.01.2024 06:00 - 27.01.2024 07:00","19040","18004"
"27.01.2024 07:00 - 27.01.2024 08:00","19911","18876"
"27.01.2024 08:00 - 27.01.2024 09:00","21459","20058"
"27.01.2024 09:00 - 27.01.2024 10:00","22236","21135"
"27.01.2024 10:00 - 27.01.2024 11:00","22709","21687"
"27.01.2024 11:00 - 27.01.2024 12:00","22743","22027"
"27.01.2024 12:00 - 27.01.2024 13:00","22603","22136"
"27.01.2024 13:00 - 27.01.2024 14:00","22601","21931"
"27.01.2024 14:00 - 27.01.2024 15:00","21875","21549"
"27.01.2024 15:00 - 27.01.2024 16:00","21565","21151"
"27.01.2024 16:00 - 27.01.2024 17:00","22435","21239"
"27.01.2024 17:00 - 27.01.2024 18:00","22518","21730"
"27.01.2024 18:00 - 27.01.2024 19:00","22294","21431"
"27.01.2024 19:00 - 27.01.2024 20:00","22064","21065"
"27.01.2024 20:00 - 27.01.2024 21:00","21535","20468"
"27.01.2024 21:00 - 27.01.2024 22:00","20560","19400"
"27.01.2024 22:00 - 27.01.2024 23:00","19534","18433"
"27.01.2024 23:00 - 28.01.2024 00:00","18402","17223"
"28.01.2024 00:00 - 28.01.2024 01:00","17149","16248"
"28.01.2024 01:00 - 28.01.2024 02:00","16473","15710"
"28.01.2024 02:00 - 28.01.2024 03:00","15940","15336"
"28.01.2024 03:00 - 28.01.2024 04:00","15707","15147"
"28.01.2024 04:00 - 28.01.2024 05:00","15882","15205"
"28.01.2024 05:00 - 28.01.2024 06:00","16157","15540"
"28.01.2024 06:00 - 28.01.2024 07:00","16724","16123"
"28.01.2024 07:00 - 28.01.2024 08:00","17340","16486"
"28.01.2024 08:00 - 28.01.2024 09:00","18679","17475"
"28.01.2024 09:00 - 28.01.2024 10:00","19735","18492"
"28.01.2024 10:00 - 28.01.2024 11:00","19990","19092"
"28.01.2024 11:00 - 28.01.2024 12:00","20263","19375"
"28.01.2024 12:00 - 28.01.2024 13:00","20197","19640"
"28.01.2024 13:00 - 28.01.2024 14:00","20167","19870"
"28.01.2024 14:00 - 28.01.2024 15:00","19768","19548"
"28.01.2024 15:00 - 28.01.2024 16:00","19484","19289"
"28.01.2024 16:00 - 28.01.2024 17:00","20766","19651"
"28.01.2024 17:00 - 28.01.2024 18:00","20987","20356"
"28.01.2024 18:00 - 28.01.2024 19:00","21049","20469"
"28.01.2024 19:00 - 28.01.2024 20:00","21012","20387"
"28.01.2024 20:00 - 28.01.2024 21:00","20728","19945"
"28.01.2024 21:00 - 28.01.2024 22:00","19896","18897"
"28.01.2024 22:00 - 28.01.2024 23:00","18967","18086"
"28.01.2024 23:00 - 29.01.2024 00:00","17990","17225"
"29.01.2024 00:00 - 29.01.2024 01:00","16314","16369"
"29.01.2024 01:00 - 29.01.2024 02:00","15878","15891"
"29.01.2024 02:00 - 29.01.2024 03:00","15795","15748"
"29.01.2024 03:00 - 29.01.2024 04:00","15828","15786"
"29.01.2024 04:00 - 29.01.2024 05:00","16394","16258"
"29.01.2024 05:00 - 29.01.2024 06:00","17930","17721"
"29.01.2024 06:00 - 29.01.2024 07:00","21370","20816"
"29.01.2024 07:00 - 29.01.2024 08:00","23036","22882"
"29.01.2024 08:00 - 29.01.2024 09:00","24242","23759"
"29.01.2024 09:00 - 29.01.2024 10:00","24483","23834"
"29.01.2024 10:00 - 29.01.2024 11:00","23951","22944"
"29.01.2024 11:00 - 29.01.2024 12:00","23848","22664"
"29.01.2024 12:00 - 29.01.2024 13:00","23211","22597"
"29.01.2024 13:00 - 29.01.2024 14:00","22715","22607"
"29.01.2024 14:00 - 29.01.2024 15:00","22855","22647"
"29.01.2024 15:00 - 29.01.2024 16:00","23034","23041"
"29.01.2024 16:00 - 29.01.2024 17:00","24647","23747"
"29.01.2024 17:00 - 29.01.2024 18:00","24754","24335"
"29.01.2024 18:00 - 29.01.2024 19:00","24273","24142"
"29.01.2024 19:00 - 29.01.2024 20:00","24484","23978"
"29.01.2024 20:00 - 29.01.2024 21:00","23758","23386"
"29.01.2024 21:00 - 29.01.2024 22:00","22046","21777"
"29.01.2024 22:00 - 29.01.2024 23:00","20652","20204"
"29.01.2024 23:00 - 30.01.2024 00:00","19298","18954"
"30.01.2024 00:00 - 30.01.2024 01:00","18437","18017"
"30.01.2024 01:00 - 30.01.2024 02:00","17755","17478"
"30.01.2024 02:00 - 30.01.2024 03:00","17320","17244"
"30.01.2024 03:00 - 30.01.2024 04:00","17482","17292"
"30.01.2024 04:00 - 30.01.2024 05:00","18142","17741"
"30.01.2024 05:00 - 30.01.2024 06:00","19650","18809"
"30.01.2024 06:00 - 30.01.2024 07:00","22707","21534"
"30.01.2024 07:00 - 30.01.2024 08:00","24033","23336"
"30.01.2024 08:00 - 30.01.2024 09:00","24560","23718"
"30.01.2024 09:00 - 30.01.2024 10:00","24406","23510"
"30.01.2024 10:00 - 30.01.2024 11:00","24453","22849"
"30.01.2024 11:00 - 30.01.2024 12:00","24446","22715"
"30.01.2024 12:00 - 30.01.2024 13:00","24493","22840"
"30.01.2024 13:00 - 30.01.2024 14:00","24679","22852"
"30.01.2024 14:00 - 30.01.2024 15:00","24209","22841"
"30.01.2024 15:00 - 30.01.2024 16:00","24049","23110"
"30.01.2024 16:00 - 30.01.2024 17:00","24984","23702"
"30.01.2024 17:00 - 30.01.2024 18:00","24947","24196"
"30.01.2024 18:00 - 30.01.2024 19:00","24509","23947"
"30.01.2024 19:00 - 30.01.2024 20:00","24433","23825"
"30.01.2024 20:00 - 30.01.2024 21:00","23916","23119"
"30.01.2024 21:00 - 30.01.2024 22:00","22505","21739"
"30.01.2024 22:00 - 30.01.2024 23:00","20950","20298"
"30.01.2024 23:00 - 31.01.2024 00:00","19598","18903"
"31.01.2024 00:00 - 31.01.2024 01:00","18261","17953"
"31.01.2024 01:00 - 31.01.2024 02:00","17558","17435"
"31.01.2024 02:00 - 31.01.2024 03:00","17102","17149"
"31.01.2024 03:00 - 31.01.2024 04:00","17243","17082"
"31.01.2024 04:00 - 31.01.2024 05:00","17888","17418"
"31.01.2024 05:00 - 31.01.2024 06:00","19432","18425"
"31.01.2024 06:00 - 31.01.2024 07:00","22471","21111"
"31.01.2024 07:00 - 31.01.2024 08:00","23697","23023"
"31.01.2024 08:00 - 31.01.2024 09:00","24380","24070"
"31.01.2024 09:00 - 31.01.2024 10:00","24335","24468"
"31.01.2024 10:00 - 31.01.2024 11:00","24352","24547"
"31.01.2024 11:00 - 31.01.2024 12:00","24420","24710"
"31.01.2024 12:00 - 31.01.2024 13:00","24478","24733"
"31.01.2024 13:00 - 31.01.2024 14:00","24664","24824"
"31.01.2024 14:00 - 31.01.2024 15:00","24222","24236"
"31.01.2024 15:00 - 31.01.2024 16:00","23848","24060"
"31.01.2024 16:00 - 31.01.2024 17:00","24517","24428"
"31.01.2024 17:00 - 31.01.2024 18:00","24579","24776"
"31.01.2024 18:00 - 31.01.2024 19:00","24273","24392"
"31.01.2024 19:00 - 31.01.2024 20:00","24206","24257"
"31.01.2024 20:00 - 31.01.2024 21:00","23781","23535"
"31.01.2024 21:00 - 31.01.2024 22:00","22355","21998"
"31.01.2024 22:00 - 31.01.2024 23:00","20730","20472"
"31.01.2024 23:00 - 01.02.2024 00:00","19461","19092"
"01.02.2024 00:00 - 01.02.2024 01:00","18032","18106"
"01.02.2024 01:00 - 01.02.2024 02:00","17307","17603"
"01.02.2024 02:00 - 01.02.2024 03:00","16835","17303"
"01.02.2024 03:00 - 01.02.2024 04:00","16915","17307"
"01.02.2024 04:00 - 01.02.2024 05:00","17550","17653"
"01.02.2024 05:00 - 01.02.2024 06:00","19089","18716"
"01.02.2024 06:00 - 01.02.2024 07:00","22278","21105"
"01.02.2024 07:00 - 01.02.2024 08:00","23523","23125"
"01.02.2024 08:00 - 01.02.2024 09:00","24244","23979"
"01.02.2024 09:00 - 01.02.2024 10:00","24207","24281"
"01.02.2024 10:00 - 01.02.2024 11:00","24351","24435"
"01.02.2024 11:00 - 01.02.2024 12:00","24377","24606"
"01.02.2024 12:00 - 01.02.2024 13:00","24468","24741"
"01.02.2024 13:00 - 01.02.2024 14:00","24653","24556"
"01.02.2024 14:00 - 01.02.2024 15:00","24162","24133"
"01.02.2024 15:00 - 01.02.2024 16:00","23820","23855"
"01.02.2024 16:00 - 01.02.2024 17:00","24237","24115"
"01.02.2024 17:00 - 01.02.2024 18:00","24301","24594"
"01.02.2024 18:00 - 01.02.2024 19:00","24001","24410"
"01.02.2024 19:00 - 01.02.2024 20:00","23951","24238"
"01.02.2024 20:00 - 01.02.2024 21:00","23551","23511"
"01.02.2024 21:00 - 01.02.2024 22:00","22151","22024"
"01.02.2024 22:00 - 01.02.2024 23:00","20551","20419"
"01.02.2024 23:00 - 02.02.2024 00:00","19325","19141"
"02.02.2024 00:00 - 02.02.2024 01:00","18181","18128"
"02.02.2024 01:00 - 02.02.2024 02:00","17500","17563"
"02.02.2024 02:00 - 02.02.2024 03:00","17062","17180"
"02.02.2024 03:00 - 02.02.2024 04:00","17166","17283"
"02.02.2024 04:00 - 02.02.2024 05:00","17825","17592"
"02.02.2024 05:00 - 02.02.2024 06:00","19444","18464"
"02.02.2024 06:00 - 02.02.2024 07:00","22722","21150"
"02.02.2024 07:00 - 02.02.2024 08:00","24144","22921"
"02.02.2024 08:00 - 02.02.2024 09:00","24811","23660"
"02.02.2024 09:00 - 02.02.2024 10:00","24924","23692"
"02.02.2024 10:00 - 02.02.2024 11:00","25015","23394"
"02.02.2024 11:00 - 02.02.2024 12:00","25117","23537"
"02.02.2024 12:00 - 02.02.2024 13:00","25267","23536"
"02.02.2024 13:00 - 02.02.2024 14:00","25440","23693"
"02.02.2024 14:00 - 02.02.2024 15:00","24871","23578"
"02.02.2024 15:00 - 02.02.2024 16:00","24499","23523"
"02.02.2024 16:00 - 02.02.2024 17:00","24688","23914"
"02.02.2024 17:00 - 02.02.2024 18:00","24647","24079"
"02.02.2024 18:00 - 02.02.2024 19:00","24263","23973"
"02.02.2024 19:00 - 02.02.2024 20:00","24101","23742"
"02.02.2024 20:00 - 02.02.2024 21:00","23701","23080"
"02.02.2024 21:00 - 02.02.2024 22:00","22551","21411"
"02.02.2024 22:00 - 02.02.2024 23:00","20651","20040"
"02.02.2024 23:00 - 03.02.2024 00:00","19401","18790"
"03.02.2024 00:00 - 03.02.2024 01:00","17951","17509"
"03.02.2024 01:00 - 03.02.2024 02:00","17151","16958"
"03.02.2024 02:00 - 03.02.2024 03:00","16551","16461"
"03.02.2024 03:00 - 03.02.2024 04:00","16451","16354"
"03.02.2024 04:00 - 03.02.2024 05:00","16451","16438"
"03.02.2024 05:00 - 03.02.2024 06:00","16751","16726"
"03.02.2024 06:00 - 03.02.2024 07:00","17801","17394"
"03.02.2024 07:00 - 03.02.2024 08:00","18800","18264"
"03.02.2024 08:00 - 03.02.2024 09:00","19985","19749"
"03.02.2024 09:00 - 03.02.2024 10:00","20946","20753"
"03.02.2024 10:00 - 03.02.2024 11:00","21202","21224"
"03.02.2024 11:00 - 03.02.2024 12:00","21219","21393"
"03.02.2024 12:00 - 03.02.2024 13:00","21219","21336"
"03.02.2024 13:00 - 03.02.2024 14:00","21228","21265"
"03.02.2024 14:00 - 03.02.2024 15:00","20843","20616"
"03.02.2024 15:00 - 03.02.2024 16:00","20641","20451"
"03.02.2024 16:00 - 03.02.2024 17:00","21045","20516"
"03.02.2024 17:00 - 03.02.2024 18:00","21051","21023"
"03.02.2024 18:00 - 03.02.2024 19:00","20851","20875"
"03.02.2024 19:00 - 03.02.2024 20:00","20401","20527"
"03.02.2024 20:00 - 03.02.2024 21:00","19901","19847"
"03.02.2024 21:00 - 03.02.2024 22:00","18851","18778"
"03.02.2024 22:00 - 03.02.2024 23:00","17705","17714"
"03.02.2024 23:00 - 04.02.2024 00:00","16657","16675"
"04.02.2024 00:00 - 04.02.2024 01:00","15551","15808"
"04.02.2024 01:00 - 04.02.2024 02:00","14851","15073"
"04.02.2024 02:00 - 04.02.2024 03:00","14501","14735"
"04.02.2024 03:00 - 04.02.2024 04:00","14301","14462"
"04.02.2024 04:00 - 04.02.2024 05:00","14401","14575"
"04.02.2024 05:00 - 04.02.2024 06:00","14701","14761"
"04.02.2024 06:00 - 04.02.2024 07:00","15301","15275"
"04.02.2024 07:00 - 04.02.2024 08:00","16343","15605"
"04.02.2024 08:00 - 04.02.2024 09:00","17573","16479"
"04.02.2024 09:00 - 04.02.2024 10:00","18477","17254"
"04.02.2024 10:00 - 04.02.2024 11:00","18894","18123"
"04.02.2024 11:00 - 04.02.2024 12:00","19131","18406"
"04.02.2024 12:00 - 04.02.2024 13:00","19501","18677"
"04.02.2024 13:00 - 04.02.2024 14:00","19528","18915"
"04.02.2024 14:00 - 04.02.2024 15:00","19316","18746"
"04.02.2024 15:00 - 04.02.2024 16:00","18964","18421"
